cod_rgint,nome_rgint,biome,ano,classe,area_ha_mb,area_ha_pam,ratio_mb_pam
1101,Porto Velho,Amazônia,2008,pastagem,3073851.0,,
1101,Porto Velho,Amazônia,2008,soja,27.0,400.0,0.068
1101,Porto Velho,Amazônia,2009,pastagem,3114291.0,,
1101,Porto Velho,Amazônia,2009,soja,13.0,720.0,0.018
1101,Porto Velho,Amazônia,2010,pastagem,3145845.0,,
1101,Porto Velho,Amazônia,2010,soja,90.0,1805.0,0.05
1101,Porto Velho,Amazônia,2011,pastagem,3223964.0,,
1101,Porto Velho,Amazônia,2011,soja,959.0,2055.0,0.467
1101,Porto Velho,Amazônia,2012,pastagem,3290521.0,,
1101,Porto Velho,Amazônia,2012,soja,1202.0,4802.0,0.25
1101,Porto Velho,Amazônia,2013,pastagem,3366060.0,,
1101,Porto Velho,Amazônia,2013,soja,1558.0,5152.0,0.302
1101,Porto Velho,Amazônia,2014,pastagem,3432858.0,,
1101,Porto Velho,Amazônia,2014,soja,3075.0,12616.0,0.244
1101,Porto Velho,Amazônia,2015,pastagem,3531672.0,,
1101,Porto Velho,Amazônia,2015,soja,6898.0,25717.0,0.268
1101,Porto Velho,Amazônia,2016,pastagem,3659762.0,,
1101,Porto Velho,Amazônia,2016,soja,13170.0,33176.0,0.397
1101,Porto Velho,Amazônia,2017,pastagem,3764170.0,,
1101,Porto Velho,Amazônia,2017,soja,20645.0,50501.0,0.409
1101,Porto Velho,Amazônia,2018,pastagem,3850850.0,,
1101,Porto Velho,Amazônia,2018,soja,26521.0,64603.0,0.411
1101,Porto Velho,Amazônia,2019,pastagem,3984396.0,,
1101,Porto Velho,Amazônia,2019,soja,38780.0,100536.0,0.386
1101,Porto Velho,Amazônia,2020,pastagem,4114081.0,,
1101,Porto Velho,Amazônia,2020,soja,50393.0,131216.0,0.384
1101,Porto Velho,Amazônia,2021,pastagem,4275117.0,,
1101,Porto Velho,Amazônia,2021,soja,72128.0,110830.0,0.651
1101,Porto Velho,Amazônia,2022,pastagem,4436542.0,,
1101,Porto Velho,Amazônia,2022,soja,72898.0,177076.0,0.412
1101,Porto Velho,Amazônia,2023,pastagem,4538213.0,,
1101,Porto Velho,Amazônia,2023,soja,73591.0,251518.0,0.293
1101,Porto Velho,Amazônia,2024,pastagem,4583320.0,,
1101,Porto Velho,Amazônia,2024,soja,73686.0,254751.0,0.289
2906,Barreiras,Caatinga,2008,cana,0.0,12000.0,0.0
2906,Barreiras,Caatinga,2008,pastagem,618322.0,,
2906,Barreiras,Caatinga,2008,soja,59.0,352900.0,0.0
2906,Barreiras,Caatinga,2009,cana,0.0,7572.0,0.0
2906,Barreiras,Caatinga,2009,pastagem,628255.0,,
2906,Barreiras,Caatinga,2009,soja,32.0,334263.0,0.0
2906,Barreiras,Caatinga,2010,cana,0.0,7715.0,0.0
2906,Barreiras,Caatinga,2010,pastagem,633522.0,,
2906,Barreiras,Caatinga,2010,soja,381.0,344714.0,0.001
2906,Barreiras,Caatinga,2011,cana,0.0,7138.0,0.0
2906,Barreiras,Caatinga,2011,pastagem,638635.0,,
2906,Barreiras,Caatinga,2011,soja,463.0,366327.0,0.001
2906,Barreiras,Caatinga,2012,cana,0.0,9655.0,0.0
2906,Barreiras,Caatinga,2012,pastagem,651858.0,,
2906,Barreiras,Caatinga,2012,soja,447.0,379902.0,0.001
2906,Barreiras,Caatinga,2013,cana,2.0,14995.0,0.0
2906,Barreiras,Caatinga,2013,pastagem,673573.0,,
2906,Barreiras,Caatinga,2013,soja,784.0,424059.0,0.002
2906,Barreiras,Caatinga,2014,cana,3.0,13465.0,0.0
2906,Barreiras,Caatinga,2014,pastagem,687889.0,,
2906,Barreiras,Caatinga,2014,soja,1031.0,438123.0,0.002
2906,Barreiras,Caatinga,2015,cana,3.0,11780.0,0.0
2906,Barreiras,Caatinga,2015,pastagem,698749.0,,
2906,Barreiras,Caatinga,2015,soja,832.0,580463.0,0.001
2906,Barreiras,Caatinga,2016,cana,3.0,12874.0,0.0
2906,Barreiras,Caatinga,2016,pastagem,699565.0,,
2906,Barreiras,Caatinga,2016,soja,773.0,605528.0,0.001
2906,Barreiras,Caatinga,2017,cana,3.0,3752.0,0.001
2906,Barreiras,Caatinga,2017,pastagem,696816.0,,
2906,Barreiras,Caatinga,2017,soja,1511.0,591597.0,0.003
2906,Barreiras,Caatinga,2018,cana,3.0,2790.0,0.001
2906,Barreiras,Caatinga,2018,pastagem,689800.0,,
2906,Barreiras,Caatinga,2018,soja,1659.0,604058.0,0.003
2906,Barreiras,Caatinga,2019,cana,3.0,2705.0,0.001
2906,Barreiras,Caatinga,2019,pastagem,688023.0,,
2906,Barreiras,Caatinga,2019,soja,1193.0,601414.0,0.002
2906,Barreiras,Caatinga,2020,cana,14.0,2574.0,0.005
2906,Barreiras,Caatinga,2020,pastagem,686213.0,,
2906,Barreiras,Caatinga,2020,soja,1217.0,629100.0,0.002
2906,Barreiras,Caatinga,2021,cana,14.0,2605.0,0.005
2906,Barreiras,Caatinga,2021,pastagem,691401.0,,
2906,Barreiras,Caatinga,2021,soja,1175.0,656785.0,0.002
2906,Barreiras,Caatinga,2022,cana,5.0,2673.0,0.002
2906,Barreiras,Caatinga,2022,pastagem,699838.0,,
2906,Barreiras,Caatinga,2022,soja,1728.0,666181.0,0.003
2906,Barreiras,Caatinga,2023,cana,2.0,2745.0,0.001
2906,Barreiras,Caatinga,2023,pastagem,699245.0,,
2906,Barreiras,Caatinga,2023,soja,1896.0,719502.0,0.003
2906,Barreiras,Caatinga,2024,cana,2.0,2594.0,0.001
2906,Barreiras,Caatinga,2024,pastagem,688885.0,,
2906,Barreiras,Caatinga,2024,soja,1972.0,700018.0,0.003
2906,Barreiras,Cerrado,2008,pastagem,341417.0,,
2906,Barreiras,Cerrado,2008,soja,728728.0,903000.0,0.807
2906,Barreiras,Cerrado,2009,pastagem,346115.0,,
2906,Barreiras,Cerrado,2009,soja,732900.0,948499.0,0.773
2906,Barreiras,Cerrado,2010,pastagem,349208.0,,
2906,Barreiras,Cerrado,2010,soja,881394.0,1014950.0,0.868
2906,Barreiras,Cerrado,2011,pastagem,346908.0,,
2906,Barreiras,Cerrado,2011,soja,983816.0,1043200.0,0.943
2906,Barreiras,Cerrado,2012,pastagem,353309.0,,
2906,Barreiras,Cerrado,2012,soja,934928.0,1110157.0,0.842
2906,Barreiras,Cerrado,2013,pastagem,385534.0,,
2906,Barreiras,Cerrado,2013,soja,927102.0,1209267.0,0.767
2906,Barreiras,Cerrado,2014,pastagem,424792.0,,
2906,Barreiras,Cerrado,2014,soja,1035410.0,1274324.0,0.813
2906,Barreiras,Cerrado,2015,pastagem,455298.0,,
2906,Barreiras,Cerrado,2015,soja,1130625.0,1437663.0,0.786
2906,Barreiras,Cerrado,2016,pastagem,474451.0,,
2906,Barreiras,Cerrado,2016,soja,1372332.0,1534118.0,0.895
2906,Barreiras,Cerrado,2017,pastagem,478764.0,,
