cod_rgint,nome_rgint,ano,cultura,mb_ha,pam_ha,ratio_mb_pam
1101,Porto Velho,2008,pastagem,3073851.0,,
1101,Porto Velho,2009,pastagem,3114291.0,,
1101,Porto Velho,2010,pastagem,3145845.0,,
1101,Porto Velho,2011,pastagem,3223964.0,,
1101,Porto Velho,2012,pastagem,3290521.0,,
1101,Porto Velho,2013,pastagem,3366060.0,,
1101,Porto Velho,2014,pastagem,3432858.0,,
1101,Porto Velho,2015,pastagem,3531672.0,,
1101,Porto Velho,2016,pastagem,3659762.0,,
1101,Porto Velho,2017,pastagem,3764170.0,,
1101,Porto Velho,2018,pastagem,3850850.0,,
1101,Porto Velho,2019,pastagem,3984396.0,,
1101,Porto Velho,2020,pastagem,4114081.0,,
1101,Porto Velho,2021,pastagem,4275117.0,,
1101,Porto Velho,2022,pastagem,4436542.0,,
1101,Porto Velho,2023,pastagem,4538213.0,,
1101,Porto Velho,2024,pastagem,4583320.0,,
1101,Porto Velho,2008,soja,27.0,400.0,0.068
1101,Porto Velho,2009,soja,13.0,720.0,0.018
1101,Porto Velho,2010,soja,90.0,1805.0,0.05
1101,Porto Velho,2011,soja,959.0,2055.0,0.467
1101,Porto Velho,2012,soja,1202.0,4802.0,0.25
1101,Porto Velho,2013,soja,1558.0,5152.0,0.302
1101,Porto Velho,2014,soja,3075.0,12616.0,0.244
1101,Porto Velho,2015,soja,6898.0,25717.0,0.268
1101,Porto Velho,2016,soja,13170.0,33176.0,0.397
1101,Porto Velho,2017,soja,20645.0,50501.0,0.409
1101,Porto Velho,2018,soja,26521.0,64603.0,0.411
1101,Porto Velho,2019,soja,38780.0,100536.0,0.386
1101,Porto Velho,2020,soja,50393.0,131216.0,0.384
1101,Porto Velho,2021,soja,72128.0,110830.0,0.651
1101,Porto Velho,2022,soja,72898.0,177076.0,0.412
1101,Porto Velho,2023,soja,73591.0,251518.0,0.293
1101,Porto Velho,2024,soja,73686.0,254751.0,0.289
2906,Barreiras,2008,cana,0.0,12910.0,0.0
2906,Barreiras,2009,cana,0.0,8540.0,0.0
2906,Barreiras,2010,cana,0.0,8730.0,0.0
2906,Barreiras,2011,cana,0.0,8018.0,0.0
2906,Barreiras,2012,cana,0.0,10517.0,0.0
2906,Barreiras,2013,cana,2.0,15735.0,0.0
2906,Barreiras,2014,cana,3.0,14290.0,0.0
2906,Barreiras,2015,cana,3.0,12655.0,0.0
2906,Barreiras,2016,cana,3.0,13774.0,0.0
2906,Barreiras,2017,cana,3.0,4009.0,0.001
2906,Barreiras,2018,cana,3.0,3070.0,0.001
2906,Barreiras,2019,cana,3.0,2985.0,0.001
2906,Barreiras,2020,cana,14.0,2824.0,0.005
2906,Barreiras,2021,cana,14.0,2855.0,0.005
2906,Barreiras,2022,cana,5.0,2959.0,0.002
2906,Barreiras,2023,cana,2.0,3040.0,0.001
2906,Barreiras,2024,cana,2.0,2844.0,0.001
2906,Barreiras,2008,pastagem,959740.0,,
2906,Barreiras,2009,pastagem,974370.0,,
2906,Barreiras,2010,pastagem,982731.0,,
2906,Barreiras,2011,pastagem,985542.0,,
2906,Barreiras,2012,pastagem,1005167.0,,
2906,Barreiras,2013,pastagem,1059107.0,,
2906,Barreiras,2014,pastagem,1112681.0,,
2906,Barreiras,2015,pastagem,1154047.0,,
2906,Barreiras,2016,pastagem,1174017.0,,
2906,Barreiras,2017,pastagem,1175580.0,,
2906,Barreiras,2018,pastagem,1179296.0,,
2906,Barreiras,2019,pastagem,1182365.0,,
2906,Barreiras,2020,pastagem,1176514.0,,
2906,Barreiras,2021,pastagem,1179882.0,,
