"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Município";"2013";;;;;"2014";;;;;"2015"
"Nível";"Cód.";"Município";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"-";"-";"12";"8160";"-";"-";"-";"12";"6528";"-";"-";"-";"20";"6528";"350"
"MU";"1100023";"Ariquemes (RO)";"-";"-";"6";"755";"1642";"-";"-";"6";"777";"1685";"-";"-";"10";"710";"2243"
"MU";"1100031";"Cabixi (RO)";"-";"-";"2";"5020";"14500";"-";"-";"2";"5020";"15785";"-";"-";"60";"7025";"21050"
"MU";"1100049";"Cacoal (RO)";"-";"-";"10";"2722";"-";"-";"-";"10";"2139";"-";"-";"-";"10";"2139";"250"
"MU";"1100056";"Cerejeiras (RO)";"-";"-";"1200";"10050";"25000";"-";"-";"800";"18050";"26000";"-";"-";"350";"19050";"27000"
"MU";"1100064";"Colorado do Oeste (RO)";"-";"-";"6";"2500";"3000";"-";"-";"50";"2430";"3500";"-";"-";"50";"2050";"3000"
"MU";"1100072";"Corumbiara (RO)";"-";"-";"10";"17100";"33000";"-";"-";"100";"20100";"37030";"-";"-";"12";"18100";"39450"
"MU";"1100080";"Costa Marques (RO)";"-";"-";"3";"502";"-";"-";"-";"3";"502";"-";"-";"-";"10";"400";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"-";"-";"8";"2645";"200";"-";"-";"40";"2645";"320";"-";"-";"100";"2484";"900"
"MU";"1100106";"Guajará-Mirim (RO)";"-";"-";"2";"50";"-";"-";"-";"2";"29";"-";"-";"-";"5";"40";"-"
"MU";"1100114";"Jaru (RO)";"-";"-";"3";"890";"-";"-";"-";"3";"308";"-";"-";"-";"13";"580";"400"
"MU";"1100122";"Ji-Paraná (RO)";"-";"-";"-";"979";"-";"-";"-";"1";"600";"-";"-";"-";"38";"600";"-"
"MU";"1100130";"Machadinho D'Oeste (RO)";"-";"-";"4";"2450";"720";"-";"-";"41";"1450";"1390";"-";"-";"41";"1550";"1404"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"-";"-";"10";"775";"-";"-";"-";"10";"760";"-";"-";"-";"10";"460";"-"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"-";"-";"6";"300";"-";"-";"-";"20";"300";"-";"-";"-";"-";"300";"-"
"MU";"1100189";"Pimenta Bueno (RO)";"-";"-";"5";"400";"105";"-";"-";"5";"192";"105";"-";"-";"100";"416";"187"
"MU";"1100205";"Porto Velho (RO)";"-";"-";"61";"4726";"240";"-";"-";"165";"4636";"236";"-";"-";"240";"5600";"7200"
"MU";"1100254";"Presidente Médici (RO)";"-";"-";"10";"1200";"-";"-";"-";"10";"650";"-";"-";"-";"10";"400";"-"
"MU";"1100262";"Rio Crespo (RO)";"-";"-";"-";"400";"800";"-";"-";"-";"1600";"3840";"-";"-";"-";"3500";"6065"
"MU";"1100288";"Rolim de Moura (RO)";"-";"-";"750";"1000";"1500";"-";"-";"750";"1000";"2000";"-";"-";"5";"1000";"2000"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"-";"-";"2500";"1200";"300";"-";"-";"2500";"500";"400";"-";"-";"1000";"400";"400"
"MU";"1100304";"Vilhena (RO)";"-";"-";"-";"30050";"43000";"-";"-";"-";"33050";"43000";"-";"-";"-";"42050";"48050"
"MU";"1100320";"São Miguel do Guaporé (RO)";"-";"-";"4";"3000";"2300";"-";"-";"4";"4000";"3000";"-";"-";"-";"4200";"8000"
"MU";"1100338";"Nova Mamoré (RO)";"-";"-";"2";"708";"-";"-";"-";"2";"650";"-";"-";"-";"-";"650";"-"
"MU";"1100346";"Alvorada D'Oeste (RO)";"-";"-";"1";"500";"629";"-";"-";"1";"300";"629";"-";"-";"-";"300";"629"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"-";"-";"2";"5850";"2100";"-";"-";"2";"5480";"2150";"-";"-";"20";"6250";"2472"
"MU";"1100403";"Alto Paraíso (RO)";"-";"-";"-";"570";"600";"-";"-";"-";"1150";"1450";"-";"-";"-";"1170";"2500"
"MU";"1100452";"Buritis (RO)";"-";"-";"5";"210";"-";"-";"-";"5";"230";"-";"-";"-";"-";"230";"-"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"-";"-";"5";"689";"100";"-";"-";"-";"595";"50";"-";"-";"10";"595";"-"
"MU";"1100601";"Cacaulândia (RO)";"-";"-";"3";"500";"-";"-";"-";"20";"150";"-";"-";"-";"20";"30";"-"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"-";"-";"2";"1840";"-";"-";"-";"2";"1104";"-";"-";"-";"20";"680";"85"
"MU";"1100809";"Candeias do Jamari (RO)";"-";"-";"15";"300";"-";"-";"-";"30";"700";"700";"-";"-";"70";"2900";"2500"
"MU";"1100908";"Castanheiras (RO)";"-";"-";"20";"900";"1000";"-";"-";"-";"1100";"1000";"-";"-";"-";"1750";"1850"
"MU";"1100924";"Chupinguaia (RO)";"-";"-";"4";"15030";"26500";"-";"-";"34";"15040";"24000";"-";"-";"2";"16060";"25000"
"MU";"1100940";"Cujubim (RO)";"-";"-";"-";"400";"170";"-";"-";"-";"857";"2060";"-";"-";"-";"857";"2060"
