zona_id,zona_nome,ano_inicio,ano_fim,par_anos,codigo_transicao,transicao,n_pixels,area_km2
1401,Boa Vista,2008,2009,2008_2009,315,floresta_para_pastagem,128710,115.839
1401,Boa Vista,2008,2009,2008_2009,341,floresta_para_outras_temp,1107,0.9963
1401,Boa Vista,2008,2009,2008_2009,415,savana_para_pastagem,1175,1.0575
1401,Boa Vista,2008,2009,2008_2009,1541,pastagem_para_outras_temp,1731,1.5579
1401,Boa Vista,2008,2009,2008_2009,1525,pastagem_para_veg_sec,425,0.3825
1401,Boa Vista,2008,2009,2008_2009,325,floresta_para_veg_sec,66,0.0594
1401,Boa Vista,2008,2009,2008_2009,303,floresta_estavel,75366003,67829.4027
1401,Boa Vista,2008,2009,2008_2009,1515,pastagem_estavel,3435892,3092.3028
1401,Boa Vista,2008,2009,2008_2009,3939,soja_estavel,12646,11.3814
1401,Boa Vista,2008,2009,2008_2009,404,savana_estavel,80372,72.3348
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,315,floresta_para_pastagem,11502,10.3518
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,341,floresta_para_outras_temp,502,0.4518
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,415,savana_para_pastagem,18,0.0162
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,1541,pastagem_para_outras_temp,366,0.3294
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,1525,pastagem_para_veg_sec,395,0.3555
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,325,floresta_para_veg_sec,287,0.2583
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,303,floresta_estavel,65246198,58721.5782
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,1515,pastagem_estavel,332287,299.0583
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,3939,soja_estavel,37,0.0333
1602,Oiapoque - Porto Grande,2008,2009,2008_2009,404,savana_estavel,9196,8.2764
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,315,floresta_para_pastagem,103358,93.0222
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,341,floresta_para_outras_temp,140,0.126
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,415,savana_para_pastagem,444,0.3996
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,1541,pastagem_para_outras_temp,129,0.1161
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,1525,pastagem_para_veg_sec,633,0.5697
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,325,floresta_para_veg_sec,402,0.3618
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,303,floresta_estavel,82878632,74590.7688
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,1515,pastagem_estavel,3103621,2793.2589
1402,Rorainópolis - Caracaraí,2008,2009,2008_2009,404,savana_estavel,35097,31.5873
1505,Santarém,2008,2009,2008_2009,315,floresta_para_pastagem,940168,846.1512
1505,Santarém,2008,2009,2008_2009,339,floresta_para_soja,1,0.0009
1505,Santarém,2008,2009,2008_2009,341,floresta_para_outras_temp,1153,1.0377
1505,Santarém,2008,2009,2008_2009,415,savana_para_pastagem,2446,2.2014
1505,Santarém,2008,2009,2008_2009,441,savana_para_outras_temp,144,0.1296
1505,Santarém,2008,2009,2008_2009,1539,pastagem_para_soja,768,0.6912
1505,Santarém,2008,2009,2008_2009,1541,pastagem_para_outras_temp,63499,57.1491
1505,Santarém,2008,2009,2008_2009,1525,pastagem_para_veg_sec,14254,12.8286
1505,Santarém,2008,2009,2008_2009,3925,soja_para_veg_sec,18,0.0162
1505,Santarém,2008,2009,2008_2009,325,floresta_para_veg_sec,5326,4.7934
1505,Santarém,2008,2009,2008_2009,303,floresta_estavel,420269616,378242.6544
1505,Santarém,2008,2009,2008_2009,1515,pastagem_estavel,21032912,18929.6208
1505,Santarém,2008,2009,2008_2009,3939,soja_estavel,120407,108.3663
1505,Santarém,2008,2009,2008_2009,404,savana_estavel,4618464,4156.6176
1506,Altamira,2008,2009,2008_2009,315,floresta_para_pastagem,764111,687.6999
1506,Altamira,2008,2009,2008_2009,341,floresta_para_outras_temp,1490,1.341
1506,Altamira,2008,2009,2008_2009,415,savana_para_pastagem,3000,2.7
1506,Altamira,2008,2009,2008_2009,441,savana_para_outras_temp,305,0.2745
1506,Altamira,2008,2009,2008_2009,1539,pastagem_para_soja,57,0.0513
1506,Altamira,2008,2009,2008_2009,1541,pastagem_para_outras_temp,17373,15.6357
1506,Altamira,2008,2009,2008_2009,1525,pastagem_para_veg_sec,4770,4.293
1506,Altamira,2008,2009,2008_2009,3925,soja_para_veg_sec,4,0.0036
1506,Altamira,2008,2009,2008_2009,325,floresta_para_veg_sec,2327,2.0943
1506,Altamira,2008,2009,2008_2009,303,floresta_estavel,298976606,269078.9454
1506,Altamira,2008,2009,2008_2009,1515,pastagem_estavel,16082600,14474.34
1506,Altamira,2008,2009,2008_2009,3939,soja_estavel,3922,3.5298
1506,Altamira,2008,2009,2008_2009,404,savana_estavel,1980400,1782.36
1601,Macapá,2008,2009,2008_2009,315,floresta_para_pastagem,4865,4.3785
1601,Macapá,2008,2009,2008_2009,341,floresta_para_outras_temp,6,0.0054
1601,Macapá,2008,2009,2008_2009,415,savana_para_pastagem,2,0.0018
1601,Macapá,2008,2009,2008_2009,1541,pastagem_para_outras_temp,10,0.009
1601,Macapá,2008,2009,2008_2009,1525,pastagem_para_veg_sec,212,0.1908
1601,Macapá,2008,2009,2008_2009,325,floresta_para_veg_sec,167,0.1503
1601,Macapá,2008,2009,2008_2009,303,floresta_estavel,46245991,41621.3919
1601,Macapá,2008,2009,2008_2009,1515,pastagem_estavel,80522,72.4698
1601,Macapá,2008,2009,2008_2009,3939,soja_estavel,1594,1.4346
